person,2020,2021,2022,2023
14,8332,8344,7083,8751
16,22198,25438,21334,23124
17,22218,25567,21426,23210
19,1968,5973,6243,5039
20,20229,19466,15091,18084
23,15386,13054,6188,13564
32,85066,76954,79553,88089
35,53267,55466,58899,61434
39,37536,33307,34949,39138
41,50347,51921,53629,56624
49,8449,7225,6698,7636
58,7332,6908,6643,7635
63,10058,9192,8795,10203
64,14578,13677,13424,15045
68,22198,25438,21334,23124
72,24532,23679,28108,26649
74,13756,12210,5113,12245
81,23819,32561,32521,35869
82,36592,32126,32680,36981
100,24532,23679,28108,26649
101,53267,55466,58899,61434
116,5770,5714,4498,6015
118,5770,5714,4498,6015
123,7213,7763,8218,8649
130,7332,6908,6643,7635
131,7332,6908,6643,7635
132,7313,7048,6736,7639
135,7332,6908,6643,7635
136,7332,6908,6643,7635
137,7313,7048,6736,7639
147,15423,13887,13304,15830
151,53267,55427,58855,61395
161,14579,13679,13458,15051
162,7333,6910,6671,7640
164,28062,24391,25216,28353
165,8530,7735,7464,8628
166,74128,65434,67628,76119
187,9656,7521,7975,0
201,9233,8449,8208,9530
210,85066,76954,79553,88089
213,37536,33307,34949,39138
222,42660,44858,48291,50826
230,5269,4717,5673,6977
235,53267,55466,58899,61434
236,53267,55427,58855,61395
243,72167,71711,72493,77533
244,53267,55466,58899,61434
245,8332,8344,7083,8751
246,53436,55790,59340,61864
247,65598,57698,60164,67490
248,18731,15922,13153,15669
249,21820,19790,18863,20909
250,10282,8696,6455,8032
251,9895,9114,8761,10003
253,74128,65434,67628,76119
262,41898,44696,46932,48988
0,7639,5243,5311,11479
1,14489,9402,11225,15023
3,17320,26056,26056,26056
15,6425,12675,12675,12675
32,68662,17764,9881,20356
33,6425,12675,12675,12675
35,2753,10848,6428,3743
36,15000,15000,0,0
39,15003,16424,13488,23897
41,22104,18084,16070,21669
43,10255,292,188,433
44,10308,294,188,433
49,26203,12887,13977,21701
80,21256,18972,20985,24967
81,14066,13474,13342,13323
101,13522,11362,6649,4177
110,15000,15000,0,0
111,23961,2300,0,700
119,7210,0,0,0
123,604,12025,12162,12144
127,15000,15000,0,0
128,10035,0,0,0
147,6580,5438,4296,3369
151,2753,10848,6428,3743
164,8268,5127,1861,2161
166,12044,14947,10369,23496
187,12233,210,0,0
192,10326,5986,6216,12627
210,68662,17764,9881,20356
213,15003,16424,13488,23897
229,6314,3333,202,201
230,7862,4666,1526,1504
232,16751,2300,0,700
235,2753,10848,6428,3743
236,2753,10848,6428,3743
243,30551,24787,21110,26088
244,3267,11069,6461,3743
245,10824,516,222,433
246,3240,11157,6710,3961
247,23271,21551,15349,26058
248,27311,13630,14400,22127
249,8447,6703,5041,4419
253,12044,14947,10369,23496
0,10678,15080,15201,12934
15,20000,20000,22222,22222
32,4687,7905,9196,8381
33,20000,20000,22222,22222
35,19698,21002,24580,25742
39,8016,4169,4395,4803
41,31987,36353,34376,34306
43,1300,5590,5053,947
44,1315,5611,5078,960
49,23921,35191,35790,25744
72,10740,32330,31552,30710
100,27792,32340,31562,30725
101,24116,30168,32456,37690
103,14398,0,736,1891
111,1670,6104,8634,9258
117,3118,3576,2823,11001
118,3118,3576,2823,11001
119,1670,6104,8634,6925
128,3971,8561,7608,9111
151,19698,20973,24557,25725
166,9772,5637,5927,6520
182,14398,22585,25890,26642
192,10880,15143,15429,13515
210,4687,7629,8743,7230
213,8016,4169,4395,4803
235,19698,21002,24580,25742
236,19698,20973,24557,25725
243,46762,59787,63210,66438
244,22816,24578,27403,36743
245,4434,9186,7901,11962
246,19698,21002,24580,25742
247,8378,4463,4728,5189
248,27064,38785,38630,40697
249,14775,23434,28834,32132
250,3142,3593,2840,14952
253,9772,5637,5927,6520
261,17041,0,0,0
15,5899,5899,5899,5899
16,3385,3802,3777,7535
17,3385,3902,3877,7654
19,2146,1655,1836,6189
32,6884,8918,12619,14917
33,5899,5899,5899,5899
35,7005,9698,13348,17298
39,3308,4355,6202,7145
41,5452,6734,8153,12301
63,1676,3385,4647,5038
64,1794,3472,4732,5107
68,3385,3802,3777,7535
81,7477,9358,11812,12582
82,3426,4996,6708,8109
101,7005,9698,13348,17298
123,5498,5631,5774,6121
147,3516,5036,7084,7454
151,6966,9676,13339,17296
161,1970,3483,4732,5106
166,6734,9351,12910,15254
201,1679,3378,4643,5037
210,6882,8918,12619,14917
213,3308,4355,6202,7145
235,7005,9698,13348,17298
236,6966,9676,13339,17296
243,9588,13041,16456,20852
244,7005,9698,13348,17298
246,7005,9698,13348,17298
247,4969,6080,8498,10414
249,4136,6307,8303,8551
253,6734,9351,12910,15254
262,3617,4050,5606,9313
0,126611,127708,113432,88388
1,170786,158285,139212,162699
3,25888,25888,47557,47557
7,1691,6233,13331,12900
10,32550,23636,31523,43369
11,7213,7378,8900,11083
15,3561,3561,8408,8408
16,23636,31523,43369,45037
17,23636,31623,43756,50167
20,23114,29728,43354,42713
23,14361,15161,12244,2484
32,128656,153429,171554,203371
33,3561,3561,8408,8408
35,55483,55998,83929,86156
36,0,0,29446,0
38,4729,5389,2622,501
39,90920,97740,117527,177501
41,300905,316009,299002,285806
43,46868,84312,50459,65345
44,47091,84428,50604,65434
45,14624,37844,16411,4254
49,270826,311275,247681,249812
63,7828,8713,8932,10459
64,8617,9414,9513,11034
68,23636,31523,43369,45037
72,59847,69680,66959,53877
73,6104,6104,6104,6104
79,1691,6233,0,0
80,182219,170474,151091,177738
81,30835,32737,32287,33544
82,17357,17564,17963,23229
88,7431,7721,7099,7298
89,7431,7721,7099,7298
100,63210,74510,69883,56846
101,152936,161132,188567,206695
103,38598,37285,42462,54915
104,1691,6233,13331,12900
108,9514,9540,17106,21800
110,0,0,29446,0
111,32342,42147,90509,47008
112,8307,8330,9656,9876
117,50585,20822,54179,55194
118,50585,20822,54179,55194
119,32342,42147,90509,47008
121,12809,13225,17634,22287
124,265,579,4309,6032
127,0,0,29446,0
128,73816,73611,61269,75502
147,22305,21662,21054,20794
151,55483,55998,83929,86156
161,8606,9405,9268,11018
164,7391,9244,10406,12629
165,9966,8321,7557,10601
166,108277,115305,135490,200730
172,3093,6456,20820,4254
179,1691,6233,0,0
186,60073,58219,41531,43983
187,9249,10147,9478,10228
189,0,101,387,5129
192,193518,190664,160342,142804
200,25555,13747,8920,11839
210,128656,153429,171554,203112
213,90920,97740,117527,177501
226,0,398,3781,5588
235,55483,55998,83929,86156
236,55483,55998,83929,86156
243,380939,399003,399864,404920
244,106068,76820,138108,141349
245,97675,105250,104783,120628
246,55748,56577,88238,92188
247,98311,106984,127933,190129
248,325191,342426,311626,312732
249,80034,82994,100863,119115
250,54364,31152,63945,62921
251,10080,11211,10699,14441
253,108277,115305,135490,200730
254,6834,4737,5376,10432
261,14624,31388,0,0
262,30079,4735,51321,35994
1,24812,0,0,0
10,31225,42274,16376,12864
11,4461,4810,4904,5106
16,42274,16376,12864,14355
17,42281,16382,12870,18219
20,42274,16376,12864,14355
32,481394,507453,526546,614899
35,80104,89464,100324,111122
39,36073,30041,28721,32424
41,279925,226974,120165,151586
43,89524,2610,22394,35296
44,89524,2776,22571,35495
49,117794,28980,55098,62573
55,5658,1541,57,0
58,10256,12133,16056,19440
64,2632,553,5458,8376
68,42274,16376,12864,14355
77,10714,12189,8721,8728
80,26375,0,0,0
81,5688,12817,12350,13404
82,41618,36542,37358,43847
88,7525,0,0,0
89,7525,0,0,0
101,247767,198764,205457,271693
111,112137,72000,112342,247432
117,78138,106690,82739,125275
118,80139,108333,84249,126556
119,112137,72000,112342,247432
123,7337,7075,6495,7246
128,125389,92924,92269,146216
130,10256,12133,16056,19440
131,10256,12133,16056,19440
132,10256,12133,16056,19440
135,10256,12133,16056,19440
136,10256,12133,16056,19440
137,10256,12133,16056,19440
147,5688,4990,4309,4922
151,78239,87771,99037,109915
159,8398,8774,9244,9822
162,8853,9185,13310,17385
164,41151,38191,33981,37462
166,77691,66583,66079,76270
171,8364,3919,6690,2843
184,11524,13254,13232,15418
185,22829,19064,13900,17523
186,15899,3885,8079,7564
187,5688,209,230,137
188,230051,203142,101319,123359
192,17758,6813,11901,10468
200,5127,4644,1761,2166
201,14764,16019,20397,24727
210,473030,503534,519856,612057
213,36073,30041,28721,32424
222,79359,87059,97219,107830
229,4453,3847,6534,6116
230,15168,16036,15255,14844
235,80104,89464,100324,111122
236,78239,87771,99037,109915
238,4509,3886,4342,5286
243,292094,237091,248972,310072
244,158243,196154,183063,236397
245,169664,111109,106820,162051
246,80104,89464,100324,111122
247,77224,68232,62702,69885
248,211990,147628,148648,198950
249,12169,10117,128807,158487
250,94195,118648,93550,136377
253,77691,66583,66079,76270
262,162131,197994,65067,89013
10,2795,4052,8091,0
11,5510,5970,6084,0
15,15333,15333,15333,0
16,4052,8091,6369,0
17,4239,8278,6741,0
19,2818,5680,3587,0
23,3643,6059,5225,0
32,23582,29283,28109,0
33,15333,15333,15333,0
35,33256,35231,36315,0
39,12547,15074,14569,0
41,16299,20444,19174,0
43,12883,16097,12211,0
44,13422,16691,12826,0
49,16151,19800,16434,0
63,4437,6361,4765,0
64,5463,7476,5943,0
68,4052,8091,6369,0
79,14383,15476,15695,0
81,55937,66017,69060,0
82,9334,12314,11555,0
101,64845,73579,71631,0
111,8703,13472,5439,0
117,18705,22251,23106,0
118,19749,24298,25185,0
119,7592,10881,4430,0
123,36389,44185,46691,0
128,27537,30257,28948,0
147,36882,43648,43275,0
151,18873,19755,20620,0
161,5353,7408,5843,0
164,5767,6636,7262,0
165,3567,5677,4293,0
166,21882,27388,26125,0
176,9947,9975,10343,0
179,14383,15476,15695,0
187,13245,14746,15544,0
210,23548,29276,28220,0
213,12547,15074,14569,0
222,4190,6086,6724,0
235,33256,35231,36315,0
236,18873,19755,20620,0
243,71215,81646,80420,0
244,51962,57482,59420,0
245,33171,40989,38011,0
246,33821,35829,36960,0
247,18315,21711,21832,0
248,37393,45817,43460,0
249,54916,61202,61246,0
250,21242,26017,27026,0
253,21882,27388,26125,0
3,18274,29437,37350,37351
7,27484,33209,42338,40461
10,23710,26193,21403,21304
15,21343,22747,24740,24740
16,26191,21408,21311,11240
32,50343,108383,50042,21078
33,21343,22747,24740,24740
35,42877,24577,33891,34202
36,0,12396,9906,2
68,26193,21403,21304,11232
70,5513,1599,1183,3192
88,12639,7325,3513,3866
90,19315,16472,10300,8910
101,45436,27130,34047,34349
104,33000,34809,43522,43654
105,33000,34809,43522,43654
110,0,12396,9906,2
127,0,12396,9906,2
139,6676,9147,6787,5044
151,41248,22973,32182,32198
164,3573,4439,6007,6365
166,7245,9793,7334,5552
235,42877,24577,33891,34202
236,41248,22973,32182,32198
243,280155,168665,138988,124406
244,45436,27130,34047,34349
246,42877,24577,33891,34202
248,237278,144089,105097,90204
253,7245,9793,7334,5552
3,3610,8089,9061,9033
7,7501,11405,18807,21815
10,8636,23220,36091,41510
15,11226,17666,27650,37783
16,23329,36201,41616,28340
32,11160,23560,39001,20951
33,11226,17666,27650,37783
35,18998,29956,41683,53687
36,10000,10949,10981,10134
68,23220,36091,41510,28225
71,39226,26454,8483,7522
88,2625,2274,3618,7568
90,4437,5443,7841,12636
101,48419,75222,87607,96490
104,7501,11475,18825,21888
105,7501,11475,18825,21888
110,10000,10949,10981,10134
111,29421,45535,44869,12138
118,29683,45783,46288,43006
119,29421,45535,44869,12138
127,10000,10949,10981,10134
128,6092,9065,4308,14463
139,1813,3168,4223,5067
151,18478,29566,41406,53489
166,2205,3886,5319,6013
176,10000,10000,10000,10000
211,16574,33674,41642,38518
235,18998,29956,41683,53687
236,18478,29566,41406,53489
243,98540,142869,183046,193774
244,48419,75222,87607,96490
245,29683,45783,46288,43006
246,18998,29956,41683,53687
248,79542,112913,141363,140087
253,2205,3886,5319,6013
3,15156,15156,15156,15156
15,19029,19029,19029,19029
32,11921,15572,17939,16783
33,19029,19029,19029,19029
35,8511,8350,7791,9696
36,12796,0,0,0
39,9652,11798,13552,11384
41,6603,4328,5590,4967
49,8823,7200,8279,6599
81,11757,11952,12076,11248
82,3182,3411,4801,5656
88,10989,366,290,279
89,10989,366,290,279
90,6973,33,7,29
91,6973,33,7,29
101,10011,9503,10107,11489
110,12796,0,0,0
127,12796,0,0,0
147,10817,10410,9901,10786
151,6222,6062,5504,7378
164,4801,3546,5112,4442
166,12833,15209,18353,17040
210,11921,15557,17934,16783
213,9652,11798,13552,11384
235,8511,8350,7791,9696
236,6222,6062,5504,7378
243,20116,17616,18264,18500
244,9050,8550,8470,10384
246,8499,8338,7779,9682
247,14453,15344,18665,15826
248,11617,9279,10485,8818
249,13512,13288,12674,13533
253,12833,15209,18353,17040
0,3241,5073,5077,2717
1,4282,5788,5758,6154
11,4424,4780,5428,5353
32,22458,25622,30996,26795
35,13140,14631,17716,16520
39,19881,23583,27306,24987
41,9100,13047,13771,12453
43,5168,5920,5623,7422
44,5168,5920,5623,7422
49,8799,11628,11110,10653
80,4298,5804,5767,6208
81,38063,42075,46985,46640
100,3398,5902,6166,3736
101,20994,25660,28094,27833
117,2687,5109,4754,3891
118,2687,5109,4754,3891
123,27011,28070,34412,34039
128,7183,10828,9785,10802
147,16072,18763,20123,18924
151,13136,14628,17712,16517
166,22301,27030,31056,27236
187,4380,5128,6078,6109
192,3436,5431,5245,2958
210,22458,25622,30996,26795
213,19881,23583,27306,24987
222,4885,6135,7927,7213
235,13140,14631,17716,16520
236,13136,14628,17712,16517
243,26443,33357,35905,33516
244,15827,19740,22470,20411
245,7855,11029,10378,11313
246,13139,14630,17715,16519
247,21275,24418,27922,27075
248,13304,18727,18191,16996
249,17342,20311,22134,21063
250,4505,7099,7081,6343
253,22301,27030,31056,27236
0,30118,77668,92393,95192
1,23684,44886,59715,64034
3,12872,12872,12872,12872
10,18608,15494,26005,43380
11,53292,58606,61265,61295
16,14325,25713,43380,65356
17,14325,25713,43380,65356
20,13782,25095,41812,62736
23,10670,29446,26288,35019
32,213809,257113,509877,461553
35,87524,93451,109689,112626
38,8701,2331,2986,4323
39,156680,234139,432876,376135
41,80424,120227,158413,181211
43,12481,5734,5562,11311
44,12768,5899,5717,11745
49,51021,93068,112805,125334
58,9249,11116,24033,27803
63,12660,14521,30810,37361
64,13048,14919,31210,37777
68,15494,26005,43380,65356
72,35564,43649,49991,44934
74,7260,27028,23387,28534
79,6329,6329,6425,6886
80,23684,0,0,0
81,82839,85894,90651,97709
82,20479,22932,42524,44735
100,36338,45077,52206,47544
101,126573,121200,136631,155110
103,9837,18166,18166,18166
111,84951,25258,13934,25024
112,4993,6504,7212,8133
117,26568,22015,21380,31173
118,28396,24676,24449,34542
119,15379,0,4091,24382
123,15754,18354,19053,23824
124,18040,19538,21859,27803
128,24724,2035,0,0
130,9249,11116,24033,27803
131,9249,11116,24033,27803
132,9620,11350,24791,30785
135,9249,11116,24033,27803
136,9249,11116,24033,27803
137,9620,11350,24791,30785
147,49586,49141,49404,53957
151,81195,87122,103264,105741
161,12205,14844,31139,37630
162,8568,11055,23975,27680
164,8427,8460,11227,9286
165,12052,14472,31298,35449
166,177159,257071,475400,420870
179,6329,6329,6425,6886
182,25165,25775,26108,30723
192,35394,81000,97028,104439
201,11917,13951,30238,36677
210,213809,257113,509877,461553
213,156680,234139,432876,376135
222,69274,75150,90904,93929
232,69571,25258,9843,642
235,87524,93451,109689,112626
236,81195,87122,103264,105741
238,2297,2601,5448,5892
243,186836,235086,271876,302546
244,114092,115466,131069,143799
245,41164,30575,30166,46288
246,105564,112990,131548,140430
247,165107,242599,444102,385421
248,81272,122096,140328,162117
249,106412,114859,113463,121336
250,30251,29028,27523,36783
251,12579,14549,30868,35605
253,177159,257071,475400,420870
262,29403,27158,45608,55877
32,10538,14201,14716,15657
35,4592,6977,7590,8035
39,8710,11631,11465,14247
41,5365,7102,7141,8768
49,3039,3879,5080,6800
81,6197,7325,11171,11792
101,5770,9186,12730,13662
111,9691,16344,23172,30580
123,3280,3464,3604,7009
147,4114,4958,8500,8523
151,4592,6977,7590,8035
166,11059,14573,14019,16525
210,10538,14201,14716,15657
213,8710,11631,11465,14247
232,9554,15526,21184,30560
235,4592,6977,7590,8035
236,4592,6977,7590,8035
243,9536,12108,15688,17517
244,4911,7950,10337,10344
245,1252,2285,5197,5747
246,5901,7034,7652,8099
247,10106,13143,12981,16061
248,3634,5074,8036,9418
249,4170,5006,8547,8749
253,11059,14573,14019,16525
32,717,4967,6427,0
43,1041,2480,9021,0
44,1106,2620,9085,0
49,1550,3142,9807,0
81,4064,4673,5303,0
101,8161,10489,12563,0
111,7118,0,0,0
117,7194,6192,94,0
118,7228,6261,140,0
119,7118,0,0,0
128,8225,8532,8751,0
166,836,6277,6701,0
210,717,4967,6427,0
243,9784,12164,14047,0
244,7119,8009,3542,0
245,8334,8881,9225,0
248,9708,10201,10570,0
249,9500,10488,11827,0
250,8158,7059,763,0
253,836,6277,6701,0
10,3351,14039,5788,9042
15,5002,5002,5002,5002
16,10024,5788,9042,7794
17,22227,18891,21084,22319
32,24346,25908,29078,30800
33,5002,5002,5002,5002
35,20064,18598,17003,17057
68,14039,5788,9042,7794
101,20064,18598,17003,17057
105,12666,13567,12506,14990
138,8181,0,0,0
151,20054,18584,16996,17052
166,7900,9224,10252,10873
189,12202,13103,12042,14526
200,3805,4078,4413,5034
222,10156,9119,8294,8748
225,8181,0,0,0
235,20064,18598,17003,17057
236,20054,18584,16996,17052
243,47371,46528,47179,51160
244,20064,18598,17003,17057
246,20064,18598,17003,17057
247,6662,7612,8324,9295
248,27308,27931,30175,34103
253,7900,9224,10252,10873
35,5847,6162,6505,7063
41,3647,4358,5558,5732
101,6766,7175,7972,8550
151,5847,6162,6505,7062
235,5847,6162,6505,7063
236,5847,6162,6505,7062
243,7994,8619,9661,10854
244,6652,7023,7867,8327
246,5911,6193,6523,7095
249,4347,4261,4103,5122
3,2258,2258,6433,0
10,12586,17192,18894,0
15,8035,8035,13820,0
16,17221,18925,14611,0
32,14942,21081,12599,0
33,8035,8035,13820,0
35,10670,10666,31762,0
36,0,0,10009,0
68,17192,18894,14579,0
90,6521,7022,7747,0
101,10671,0,0,0
104,3671,6776,7200,0
105,3671,6776,7200,0
110,0,0,10009,0
127,0,0,10009,0
139,4676,4885,6610,0
145,0,0,12770,0
151,10668,10622,31728,0
166,5918,6059,8211,0
235,10670,10666,31762,0
236,10668,10622,31728,0
243,40580,52030,45050,0
244,10671,0,0,0
246,10670,10666,31762,0
248,29910,41365,13288,0
253,5918,6059,8211,0
1,4152,4690,5513,5985
11,23524,23234,23295,23362
23,5656,10159,8158,8501
32,37745,47012,54852,58664
35,29298,32934,37202,42407
39,34648,36520,41250,44098
41,19330,19070,23929,27765
43,19047,12945,12838,12244
44,19267,13150,13066,12425
49,24046,19278,19863,19229
72,5135,5809,7240,8834
74,4064,9216,6502,6208
81,94906,93768,95408,96924
82,3030,10961,14468,15038
100,11392,12644,16552,19268
101,67679,61019,60775,60457
111,39693,11973,33920,19833
117,19334,15140,10735,5805
118,19679,15371,10929,5991
119,39693,11973,33920,19833
123,58568,58448,59659,60782
128,35391,26763,22501,16561
147,56259,51830,48517,45228
151,27962,31598,35880,41134
159,6594,6452,6561,7379
164,6005,6116,6310,6388
166,37678,47481,55718,59136
187,9307,8742,8829,8811
209,6128,6666,8978,10115
210,37745,47012,54852,58664
213,34648,36520,41250,44098
222,24653,28288,32556,37762
235,29298,32934,37202,42407
236,27962,31598,35880,41134
243,79617,74035,74665,75007
244,48632,48074,47937,48213
245,38945,28521,23996,18416
246,29298,32934,37202,42407
247,40653,42636,47560,50486
248,50318,41101,37463,32599
249,60287,54965,50736,47242
250,26273,21823,17601,13370
253,37678,47481,55718,59136
0,88606,97539,104886,109827
1,17493,17606,21626,25713
3,24798,24798,24798,24798
7,282,3458,5187,4228
10,38980,38776,32696,38186
11,124163,136772,154199,186199
14,9108,12166,14913,17982
16,38776,32696,38186,40745
17,38776,32696,38186,40745
19,1607,13177,1707,2957
20,37169,19519,36479,37788
23,65602,63360,70625,68170
32,779739,862864,974336,1078490
35,74221,92233,112215,144734
36,0,0,0,17435
39,604144,673297,769022,838786
41,135585,142119,156642,173259
42,5800,8360,10798,11926
43,23253,12440,7998,628
44,29053,20801,18795,12554
49,153261,163761,173892,172629
53,28888,31406,32428,36269
54,28888,31406,32428,36269
58,10615,19259,28553,34037
63,17706,27636,37500,44449
64,46594,59041,69928,80718
68,38776,32696,38186,40745
72,76402,87553,91284,100940
74,29914,29981,30417,22867
77,4531,5262,7073,8068
80,17509,17621,21629,25714
81,216456,238489,264413,312790
82,154124,175746,200224,230661
100,76402,87553,91284,100940
101,111945,110740,127871,145363
104,519,3525,5264,4264
110,0,0,0,17435
111,342242,969108,904840,148819
112,24818,27975,31707,34752
116,3308,3806,4116,6056
117,14471,6067,7658,1
118,17779,9873,11773,6057
119,5080,3500,6000,0
123,66454,72108,76669,87537
124,2142,2045,2492,12318
127,0,0,0,17435
130,10615,19259,28553,34037
131,10615,19259,28553,34037
132,10885,19630,29075,34840
135,10615,19259,28553,34037
136,10615,19259,28553,34037
137,10885,19630,29075,34840
145,0,0,0,17435
147,114615,121794,136687,155672
151,74221,92233,112215,144734
159,10065,5192,6419,6089
161,45292,58822,69357,80306
162,9594,19082,28087,33701
164,147112,158174,172988,198689
165,7012,17572,27237,31972
166,758269,849043,969247,1069447
171,25890,14309,7853,13529
184,8573,9806,9390,11407
185,2683,2714,4329,5056
186,25339,31924,30153,31686
187,64982,70658,75388,0
192,115621,132093,140136,145785
196,1724,4451,5105,4390
201,13890,24415,35668,42823
210,753850,848555,966483,1064961
213,604144,673297,769022,838786
214,28888,31406,32428,36269
222,44231,66660,87405,111440
229,29489,30853,32948,38122
230,34020,36115,40020,46190
232,337162,965608,898840,148819
235,74221,92233,112215,144734
236,74221,92233,112215,144734
238,3005,4785,6593,7983
243,259707,273702,307463,342462
244,88692,98300,119873,144735
245,46832,30673,30569,18611
246,76363,94278,114707,157052
247,751257,831471,942010,1037475
248,183344,179424,192756,185410
249,124122,131583,150821,169203
250,30083,15664,18863,12781
251,16884,27838,37702,44293
253,758269,849043,969247,1069447
254,1677,2630,5097,4272
81,5080,5258,5556,5645
0,6727,13994,13016,15496
1,13442,14477,18326,10943
3,39348,39348,39348,96961
6,0,0,5099,0
10,36362,39844,50892,44765
11,9286,9725,9137,9564
15,24031,24031,24031,24031
16,39295,50442,44765,92088
17,39295,60081,54485,143343
19,25411,27803,15708,50142
20,13884,22640,29057,41946
23,22187,50427,41080,43573
32,274662,388250,450676,420086
33,24031,24031,24031,24031
35,190394,208371,237120,306432
38,42851,42606,44825,54607
39,228967,320865,377198,347330
41,91505,117281,116948,200645
43,46097,25371,12955,19952
44,46827,25967,13788,20714
49,75533,65624,59717,85764
50,509,402,10769,11857
58,11494,18617,38210,30776
61,0,0,0,12634
63,20389,33314,53813,40361
64,21290,34341,55115,41649
68,39844,50892,44765,92088
72,22845,25304,24528,30650
73,27420,30146,30146,29629
74,16463,45312,33970,29180
77,7098,11294,9272,10039
80,14325,15656,19735,12444
81,325961,334563,338284,356091
82,44758,63591,82105,63147
100,26260,31073,29061,34702
101,270368,270776,270896,335199
107,10720,17704,27081,25682
111,21144,28052,15167,15438
112,75603,80906,76912,79111
117,33877,37034,20821,8815
118,34755,37871,21448,9450
119,0,16000,0,0
121,10720,17704,27081,25682
122,7216,7819,8297,10393
123,173189,175379,180868,183984
124,0,0,0,5225
128,40678,11963,0,0
130,11494,18617,38210,30776
131,11494,18617,38210,30776
132,11494,18617,38210,30776
135,11494,18617,38210,30776
136,11494,18617,38210,30776
137,11494,18617,38210,30776
147,196383,181383,177122,175408
151,189242,207266,236106,305293
159,9171,9044,9764,11222
160,10456,4975,6350,6714
161,20528,35384,65856,37431
162,10960,19256,46079,27409
164,24737,35158,32484,36559
165,20021,28432,49621,26588
166,273725,384456,459304,410477
182,3902,3908,4131,14178
188,4688,4974,5138,3946
189,0,9639,9720,51255
192,12781,18623,16815,22707
201,16412,30435,52148,38545
202,24419,25137,25866,27990
209,4938,7778,6562,6977
210,274171,387803,450651,420040
213,228967,320865,377198,347330
222,83054,97909,126619,139090
224,0,0,0,72327
226,0,0,23088,22448
229,1992,5059,5357,6813
230,9090,16353,14629,16853
232,21144,12052,15167,15438
235,190394,208371,237120,306432
236,189242,207266,236106,305293
238,4918,11818,13938,7768
243,317295,329162,336373,428513
244,224271,245404,257942,315247
245,81581,63838,35235,30164
246,190394,208371,237121,311657
247,253704,356024,409682,383889
248,126901,120791,99252,116857
249,225790,211880,219425,227868
250,51368,55167,39535,31092
251,20323,27381,39419,26169
253,273725,384456,459304,410477
254,4559,3276,2756,6397
262,15973,51658,57231,114881
0,4369,4770,8749,3201
1,5526,6391,10291,4525
7,16404,5541,14721,17351
15,12186,12186,12186,12186
16,3210,7500,1668,1126
17,3216,7506,28152,28312
19,2090,3912,5444,0
32,9591,27574,21275,27159
